face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\962969_face0.jpg,Middle Eastern,White,Male,20-29,"[2.4602319e-01 2.3298156e-03 2.4348332e-01 2.0520636e-04 9.4992301e-04
 1.0502475e-02 4.9650604e-01]",[0.95426035 0.00469625 0.00247173 0.03857176],[9.9999928e-01 7.2654484e-07],"[1.17031675e-07 2.53439321e-05 9.88658704e-03 8.84942532e-01
 1.04330592e-01 8.12008861e-04 2.76449714e-06 4.66860683e-08
 6.26347085e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\962998_face0.jpg,Black,Black,Male,20-29,"[1.1426394e-05 9.9984372e-01 9.4690353e-05 6.6769545e-08 5.3256758e-07
 4.1243085e-05 8.2904817e-06]",[3.4825400e-06 9.9991089e-01 2.7897506e-06 8.2894301e-05],[0.9096764  0.09032362],"[5.9769878e-05 2.6300907e-02 4.0321738e-01 4.7786385e-01 8.6748190e-02
 5.7342094e-03 7.4131407e-05 1.5032912e-06 1.0513681e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\962999_face0.jpg,White,White,Male,20-29,"[9.9732310e-01 2.2324073e-05 3.7474540e-04 8.9623870e-07 3.5682242e-06
 2.9885221e-06 2.2723207e-03]",[9.9900031e-01 7.9057331e-04 1.6997517e-04 3.9139246e-05],[9.9999952e-01 4.4936795e-07],"[8.8764814e-08 5.8174123e-06 2.8902122e-03 8.3207470e-01 1.6408533e-01
 9.4146212e-04 2.3676225e-06 2.2298908e-08 5.5684440e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963038_face0.jpg,White,White,Male,20-29,"[9.9970454e-01 7.5310815e-08 4.6136294e-05 5.9231400e-07 1.5294323e-06
 6.4815322e-07 2.4645898e-04]",[9.9994981e-01 1.4408552e-06 1.7827180e-05 3.0879470e-05],[9.9999982e-01 1.7594681e-07],"[1.7896869e-07 1.0076212e-04 5.6240782e-02 8.6427087e-01 7.6924026e-02
 2.4522515e-03 1.0966205e-05 1.0004378e-07 1.4232463e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963043_face0.jpg,White,White,Male,20-29,"[6.3161492e-01 1.1443321e-03 6.8314150e-02 1.3667275e-03 6.0460703e-03
 4.8784178e-04 2.9102591e-01]",[0.7558897  0.01047651 0.230925   0.00270876],[9.999916e-01 8.420855e-06],"[4.9778100e-06 2.2552430e-03 3.0396003e-01 6.1714721e-01 7.2606698e-02
 3.9547789e-03 6.8364199e-05 2.6615344e-06 7.3650860e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963073_face0.jpg,White,White,Male,20-29,"[9.7361660e-01 1.8212447e-04 7.5930273e-03 6.2296713e-06 2.8897835e-05
 2.5884894e-05 1.8547270e-02]",[9.9811411e-01 1.0421657e-03 8.6874388e-05 7.5676269e-04],[9.9967301e-01 3.2701422e-04],"[1.1017584e-06 9.0987742e-04 2.8314763e-01 6.2566137e-01 8.1487760e-02
 8.6210100e-03 1.6814042e-04 3.0828314e-06 5.1796675e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963084_face0.jpg,White,White,Male,20-29,"[9.9102104e-01 1.3367673e-05 1.6397751e-03 1.4179414e-04 2.9474829e-04
 2.3645928e-06 6.8868659e-03]",[9.9940312e-01 2.2102240e-04 3.7141037e-04 4.4159469e-06],[9.9999958e-01 4.0365174e-07],"[1.5042447e-06 1.7001979e-04 7.0177995e-02 7.3276323e-01 1.8600702e-01
 1.0662069e-02 2.1384077e-04 4.2102897e-06 6.9252685e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963203_face0.jpg,Black,Black,Male,20-29,"[4.8176639e-06 9.9988377e-01 6.7179659e-05 1.4580276e-08 3.6109412e-07
 1.4390485e-05 2.9525794e-05]",[9.3751885e-07 9.9999791e-01 4.0301802e-07 7.0462573e-07],[9.9999881e-01 1.1819338e-06],"[2.27206374e-06 5.52104320e-03 2.47361481e-01 6.87336564e-01
 5.79962432e-02 1.77167822e-03 1.03700595e-05 2.43415485e-07
 1.22282708e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963211_face0.jpg,Black,Black,Male,30-39,"[7.2578575e-07 9.9999297e-01 5.5950304e-06 2.9816210e-08 2.1018730e-07
 3.6879814e-07 8.3936257e-08]",[2.0709341e-07 9.9999678e-01 2.6649132e-06 2.7617975e-07],[0.97984415 0.02015587],"[4.6682410e-07 1.9074345e-05 4.8129153e-03 4.4361341e-01 4.5366451e-01
 9.1965578e-02 5.7439948e-03 1.6778184e-04 1.2292253e-05]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\963301_face0.jpg,Middle Eastern,White,Male,20-29,"[2.3141833e-01 2.5019370e-04 1.1106947e-02 2.2779737e-05 6.0416529e-05
 1.5817626e-04 7.5698310e-01]",[0.82023925 0.17401987 0.00180947 0.00393142],[9.9998856e-01 1.1459568e-05],"[1.42306178e-07 1.37374576e-04 6.78002611e-02 8.97756755e-01
 3.41405869e-02 1.64518642e-04 3.82886071e-07 1.02463655e-08
 2.50215348e-10]"
