face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\123917_face0.jpg,Middle Eastern,White,Male,30-39,"[3.5534255e-02 2.7854869e-03 1.7951588e-01 2.0474098e-04 7.1496353e-04
 7.7301256e-02 7.0394343e-01]",[0.61260337 0.06249079 0.01299301 0.31191283],[9.9997669e-01 2.3274411e-05],"[1.2127160e-04 2.0282832e-04 9.7256294e-04 9.9323973e-02 6.2162566e-01
 2.6421160e-01 1.3249469e-02 2.8634391e-04 6.2743993e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\123976_face0.jpg,White,White,Male,20-29,"[9.7836548e-01 3.3061580e-05 5.3931009e-03 1.7388866e-05 4.1436968e-05
 1.3549729e-04 1.6013982e-02]",[9.9934655e-01 7.7872057e-05 3.1779561e-04 2.5777449e-04],[9.9999785e-01 2.1167730e-06],"[5.2112063e-07 1.5274643e-04 1.2945044e-02 8.3200741e-01 1.5403207e-01
 8.6073979e-04 1.4358608e-06 2.3670134e-08 4.4287388e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\123977_face0.jpg,Latino_Hispanic,White,Male,30-39,"[1.0618591e-01 1.8714182e-02 7.9025614e-01 2.4023971e-04 1.2320963e-03
 8.6438414e-03 7.4727662e-02]",[0.8945018  0.01176285 0.02646223 0.06727308],[9.9998909e-01 1.0911737e-05],"[8.2844244e-06 3.5911886e-04 4.5291432e-03 2.8767601e-01 6.5262169e-01
 5.4452367e-02 3.5008171e-04 3.3892456e-06 3.9435843e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124267_face0.jpg,Black,Black,Male,20-29,"[8.5413649e-07 9.9967396e-01 6.6246728e-05 1.5936090e-08 1.3251514e-06
 2.4209164e-04 1.5485981e-05]",[1.4158943e-05 9.9857861e-01 5.7626548e-06 1.4015003e-03],[9.9999970e-01 2.7428342e-07],"[1.2153140e-08 2.0998375e-06 3.6974160e-03 6.9169897e-01 2.9684207e-01
 7.7274805e-03 3.1565225e-05 3.7244456e-07 1.0453548e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124294_face0.jpg,White,White,Male,30-39,"[4.4340718e-01 1.5683339e-03 3.8911146e-01 8.2313818e-05 2.7881798e-04
 1.2523271e-02 1.5302859e-01]",[0.9744259  0.00337754 0.00156322 0.0206333 ],[9.9976712e-01 2.3283761e-04],"[2.1586825e-06 2.3811543e-05 1.2032217e-03 2.1404985e-01 7.2461689e-01
 5.9727531e-02 3.7379196e-04 2.8054967e-06 3.2035793e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124318_face0.jpg,White,White,Male,20-29,"[9.7822136e-01 1.1796066e-05 4.9046392e-04 3.2491355e-06 7.4595678e-06
 1.9180770e-06 2.1263827e-02]",[9.9967384e-01 2.6731222e-04 3.2570675e-05 2.6337982e-05],[9.999908e-01 9.168540e-06],"[1.3697904e-08 4.5997376e-06 7.9539930e-03 8.4332353e-01 1.4766769e-01
 1.0483908e-03 1.7639375e-06 1.4050908e-08 3.4242426e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124360_face0.jpg,White,White,Male,30-39,"[9.9789476e-01 1.3143070e-04 8.3541591e-04 2.4328082e-07 1.2822915e-06
 1.0472581e-05 1.1263755e-03]",[9.9019939e-01 9.4092032e-03 6.4743639e-05 3.2665115e-04],[9.9999768e-01 2.3442371e-06],"[8.3646468e-09 3.1114124e-07 1.4932544e-04 2.5364301e-01 6.9773811e-01
 4.8143275e-02 3.2435954e-04 1.6194188e-06 2.6795627e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124375_face0.jpg,Latino_Hispanic,White,Male,20-29,"[3.0597156e-01 3.5793814e-03 4.4969004e-01 1.5782450e-04 1.1629332e-03
 1.8146152e-03 2.3762368e-01]",[0.8083348  0.11941413 0.01380305 0.05844801],[9.999950e-01 4.936543e-06],"[1.0602969e-07 1.5429363e-05 8.9676296e-03 7.9109848e-01 1.9744444e-01
 2.4687976e-03 5.0972089e-06 5.7217115e-08 8.2915086e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124544_face0.jpg,White,White,Male,30-39,"[9.4584757e-01 2.2637136e-05 2.7545080e-02 4.8118175e-04 1.0556506e-03
 6.1501242e-04 2.4432899e-02]",[0.9555651  0.0026337  0.03348627 0.00831498],[9.9998206e-01 1.7952358e-05],"[4.5849498e-07 6.5339059e-06 4.4927205e-04 1.5204988e-01 7.6795816e-01
 7.9036906e-02 4.9496861e-04 3.8128603e-06 5.4036253e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\124552_face0.jpg,White,White,Male,20-29,"[8.9492899e-01 1.1244658e-05 9.8183397e-03 9.0384652e-05 1.4412093e-04
 7.1416493e-05 9.4935447e-02]",[9.9966836e-01 7.6192606e-05 1.7182369e-04 8.3545987e-05],[9.9999982e-01 1.2165144e-07],"[2.0050484e-07 3.8578430e-05 2.0045064e-02 7.4825704e-01 2.2269866e-01
 8.8967504e-03 6.2869425e-05 8.2952062e-07 8.3244096e-09]"
