face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\228342_face0.jpg,Black,Black,Male,30-39,"[4.0615460e-06 9.9982578e-01 4.9249116e-05 2.4418595e-08 4.3865339e-07
 4.0955299e-05 7.9515579e-05]",[1.8361670e-06 9.9997085e-01 4.1319308e-06 2.3192773e-05],[9.9999875e-01 1.1826910e-06],"[2.1886292e-06 8.2262518e-04 1.9505229e-02 4.7008640e-01 4.7215390e-01
 3.7199073e-02 2.2812336e-04 2.3191385e-06 7.6886273e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\228348_face0.jpg,White,White,Male,30-39,"[9.9626029e-01 4.0387637e-05 1.2543770e-03 6.1640123e-05 1.4338562e-04
 1.6206681e-05 2.2237760e-03]",[9.9841809e-01 3.9826753e-04 9.5227832e-04 2.3134686e-04],[1.0000000e+00 5.4190195e-09],"[4.1776042e-07 1.5283094e-06 3.9853799e-04 1.2454565e-01 5.0739133e-01
 3.3122575e-01 3.5346687e-02 1.0746814e-03 1.5404768e-05]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\228374_face0.jpg,Middle Eastern,White,Male,30-39,"[7.4618131e-02 3.0856961e-04 8.6655095e-03 2.1396241e-05 4.4922992e-05
 1.3249412e-03 9.1501653e-01]",[0.9262405  0.03128193 0.00203525 0.0404423 ],[9.9958593e-01 4.1410187e-04],"[2.0633719e-05 4.4874504e-04 3.9956039e-03 2.0308691e-01 7.1966660e-01
 7.2022006e-02 7.5170555e-04 7.6104848e-06 2.4564685e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\228414_face0.jpg,White,White,Male,10-19,"[9.9949163e-01 5.6216487e-07 4.0752879e-05 1.2289775e-07 4.4179185e-07
 2.9434568e-07 4.6613757e-04]",[9.9992156e-01 6.3041269e-05 7.7834811e-06 7.6523538e-06],[9.9972075e-01 2.7926287e-04],"[4.4762019e-06 1.3835090e-02 6.8591070e-01 2.8286344e-01 1.6013065e-02
 1.3524981e-03 2.0066636e-05 6.7679412e-07 4.2772864e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\228698_face0.jpg,White,White,Male,20-29,"[9.9989724e-01 3.7713519e-08 3.1313732e-05 1.1179512e-06 2.0943085e-06
 1.3146138e-07 6.8063047e-05]",[9.9997741e-01 1.7928911e-06 1.9080504e-05 1.7879815e-06],[0.9988687 0.0011313],"[3.1139734e-07 2.9863717e-04 1.4891604e-01 7.6578444e-01 8.2129553e-02
 2.8503216e-03 2.0374628e-05 3.3439935e-07 1.7363414e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\228981_face0.jpg,Latino_Hispanic,Indian,Male,30-39,"[3.9828114e-02 6.4114248e-03 8.7290633e-01 6.1027397e-04 5.9558712e-03
 6.8097435e-02 6.1905631e-03]",[0.12762056 0.04574372 0.07445174 0.75218403],[9.999999e-01 6.008415e-08],"[1.8607574e-06 3.8166323e-05 2.8104661e-03 3.6567813e-01 5.9047753e-01
 4.0538233e-02 4.5248395e-04 3.1418240e-06 2.0701490e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\229544_face0.jpg,White,White,Male,20-29,"[9.99410152e-01 1.01719854e-06 2.52819038e-04 1.14804798e-05
 1.30995995e-05 4.77481535e-06 3.06631147e-04]",[9.9594778e-01 6.5841951e-04 2.6366932e-03 7.5715553e-04],[9.9999511e-01 4.8676266e-06],"[6.7445667e-09 1.7125230e-06 4.0362608e-03 8.7308711e-01 1.2151063e-01
 1.3589415e-03 5.3931017e-06 2.5308520e-08 7.1873041e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\229638_face0.jpg,White,White,Male,20-29,"[8.5366142e-01 2.2492795e-03 1.1672257e-01 1.2815103e-04 3.8264086e-04
 9.6732769e-03 1.7182631e-02]",[9.6505058e-01 3.4137900e-04 1.5561921e-03 3.3051848e-02],[9.996164e-01 3.836187e-04],"[5.6535387e-06 8.9553672e-05 4.0464606e-03 5.3004414e-01 4.3375003e-01
 3.1651419e-02 3.9705209e-04 1.4738900e-05 9.0821476e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\229640_face0.jpg,Middle Eastern,White,Male,20-29,"[3.2286355e-01 6.8310590e-05 6.9123283e-02 6.9906146e-06 2.8934384e-05
 2.2422681e-02 5.8548623e-01]",[9.9387550e-01 2.7265737e-04 1.6303858e-04 5.6888284e-03],[9.9999964e-01 3.3756982e-07],"[7.8777185e-07 8.6940374e-05 9.2347329e-03 7.6032960e-01 2.2718908e-01
 3.1520636e-03 6.7007268e-06 6.2218675e-08 7.4095302e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\229740_face0.jpg,White,White,Male,30-39,"[9.9556047e-01 4.4912122e-06 4.8796023e-04 4.2079796e-06 7.9597776e-06
 2.2143965e-06 3.9327769e-03]",[9.9989808e-01 1.9976927e-05 7.9230871e-05 2.7190383e-06],[9.999994e-01 6.081447e-07],"[1.8120098e-06 9.7868644e-05 2.5747814e-03 3.5338363e-01 6.0731852e-01
 3.6450978e-02 1.7072078e-04 1.7263576e-06 2.4763718e-08]"
