face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10001_face0.jpg,White,White,Male,30-39,"[9.6344644e-01 8.0929085e-06 1.6212795e-03 1.4416476e-04 1.0435004e-04
 2.5047379e-05 3.4650702e-02]",[9.9963492e-01 3.0851716e-05 1.0901638e-04 2.2522628e-04],[9.9985272e-01 1.4729575e-04],"[4.4951656e-07 8.8549250e-06 2.0871672e-03 4.4410703e-01 5.3631276e-01
 1.7369209e-02 1.1364260e-04 8.7395404e-07 2.2918533e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10011_face0.jpg,Latino_Hispanic,Black,Male,30-39,"[6.2847912e-02 3.7401497e-01 4.1867337e-01 6.9716996e-05 5.5010221e-04
 4.0515427e-02 1.0332848e-01]",[1.8710136e-02 9.4317603e-01 3.7885475e-04 3.7735034e-02],[9.9999762e-01 2.3853681e-06],"[1.5235854e-06 1.8073071e-05 5.9410109e-04 1.2290792e-01 7.0529497e-01
 1.6818476e-01 2.9724082e-03 2.5889753e-05 3.8119143e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10077_face0.jpg,White,White,Male,30-39,"[9.9786597e-01 7.9914872e-07 7.4197957e-04 1.1150341e-06 6.9558942e-06
 1.4926620e-05 1.3683792e-03]",[9.9845237e-01 5.7461511e-05 7.4235664e-04 7.4781600e-04],[9.9999851e-01 1.5191291e-06],"[9.5380258e-08 4.7289791e-06 8.0901210e-04 2.8463450e-01 6.6801274e-01
 4.6401788e-02 1.3621661e-04 8.8341841e-07 1.3451894e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10086_face0.jpg,Black,Black,Male,30-39,"[7.7779267e-05 9.9777931e-01 1.2079434e-03 2.4531391e-07 6.0926477e-06
 8.1856753e-04 1.1002153e-04]",[1.8649615e-05 9.9959737e-01 2.7879081e-05 3.5607672e-04],[9.9999928e-01 7.3012404e-07],"[2.8721006e-06 4.8800171e-05 1.8436526e-03 1.5753759e-01 6.8113911e-01
 1.5523380e-01 4.1366112e-03 5.6778637e-05 6.8526134e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10122_face0.jpg,White,White,Male,20-29,"[9.9922979e-01 9.3875656e-07 7.5453405e-05 1.7600041e-06 5.8278506e-06
 3.9705583e-06 6.8232266e-04]",[9.9933785e-01 1.4771041e-04 1.5321054e-04 3.6122237e-04],[9.9999905e-01 9.4309206e-07],"[4.1805617e-07 6.2806648e-05 8.8335499e-03 6.3038135e-01 3.4709606e-01
 1.3524978e-02 1.0027035e-04 5.9687989e-07 2.3004274e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10226_face0.jpg,White,White,Male,20-29,"[9.5975822e-01 1.3454119e-05 6.1121359e-03 5.7589650e-06 2.7553428e-05
 3.4866531e-04 3.3734210e-02]",[9.9629128e-01 6.7419096e-05 1.7266948e-05 3.6240288e-03],[9.9998653e-01 1.3436815e-05],"[7.73953630e-08 2.58677574e-06 1.12208968e-03 5.91369212e-01
 4.01589900e-01 5.90171712e-03 1.42673825e-05 7.90204382e-08
 1.90268690e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10257_face0.jpg,White,White,Male,20-29,"[9.9608189e-01 1.3882330e-06 2.4059328e-04 6.1656897e-06 7.5586049e-06
 1.3272511e-05 3.6491456e-03]",[9.9989235e-01 7.1835988e-05 6.2670319e-06 2.9554190e-05],[9.9984890e-01 1.5106915e-04],"[4.0813330e-08 1.9735539e-06 7.9220260e-04 5.0520796e-01 4.7762179e-01
 1.6285358e-02 9.0183625e-05 4.7588307e-07 1.3868567e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10281_face0.jpg,White,White,Male,20-29,"[0.45318288 0.06354583 0.28922006 0.0008176  0.00612477 0.00148829
 0.18562055]",[0.49556386 0.4912518  0.01162054 0.00156381],[0.99850386 0.00149616],"[1.02095555e-05 1.92594179e-03 2.23659366e-01 4.77179557e-01
 2.50216216e-01 4.11831997e-02 5.30315237e-03 5.05065953e-04
 1.72419805e-05]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10343_face0.jpg,White,White,Male,30-39,"[9.9995422e-01 1.1872170e-06 2.9120720e-06 2.2966939e-09 1.3660759e-08
 2.1565393e-07 4.1387229e-05]",[9.9942440e-01 5.1238923e-04 6.7355086e-06 5.6555335e-05],[9.9999923e-01 7.8750327e-07],"[2.60399187e-08 4.94935421e-07 1.73554363e-04 2.52581984e-01
 6.41159058e-01 1.01100534e-01 4.93922085e-03 4.32275774e-05
 1.88865397e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10369_face0.jpg,White,White,Male,30-39,"[9.98862743e-01 3.11870212e-06 4.87771817e-04 1.79152471e-06
 2.63474863e-06 1.02618884e-04 5.39327331e-04]",[9.9748099e-01 4.9881186e-05 2.1019171e-04 2.2589504e-03],[9.9999535e-01 4.6500340e-06],"[4.0399460e-08 7.5144993e-07 6.2633560e-05 5.7780366e-02 7.7366215e-01
 1.6632074e-01 2.1706414e-03 2.7000383e-06 4.4894044e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10435_face0.jpg,White,White,Male,30-39,"[9.5178133e-01 1.2325077e-05 1.4173600e-02 1.0701907e-03 1.1328432e-03
 4.9327136e-05 3.1780411e-02]",[9.9720782e-01 1.1946723e-04 2.4694793e-03 2.0322484e-04],[1.0000000e+00 1.7070814e-08],"[2.0099012e-07 4.9444475e-06 1.3445723e-03 2.6738080e-01 6.8012768e-01
 5.0778709e-02 3.6085743e-04 2.2231106e-06 9.7078283e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10486_face0.jpg,White,White,Male,30-39,"[3.8084775e-01 9.7505571e-03 2.2862901e-01 2.0878386e-05 2.0213574e-04
 2.5991462e-02 3.5455817e-01]",[0.8403169  0.0353905  0.00184989 0.12244274],[9.9999881e-01 1.1941087e-06],"[4.9902133e-07 4.0915806e-06 2.2440782e-04 1.5360221e-01 7.6258355e-01
 8.2615197e-02 9.5955341e-04 1.0343852e-05 9.7829542e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10501_face0.jpg,Middle Eastern,Indian,Male,30-39,"[1.3161514e-02 1.2813751e-01 1.6285703e-01 6.2130166e-05 1.0791630e-03
 2.7995548e-01 4.1474727e-01]",[0.0054701  0.23018217 0.0082196  0.75612813],[9.999011e-01 9.888287e-05],"[4.3164269e-05 4.3078119e-04 5.6331502e-03 1.8028806e-01 6.4790428e-01
 1.6149378e-01 4.1288869e-03 7.6081567e-05 1.7965330e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10507_face0.jpg,White,White,Male,30-39,"[9.7619855e-01 1.2879646e-04 1.3503578e-03 3.2429643e-06 1.5066229e-05
 2.1198983e-05 2.2282757e-02]",[9.9758983e-01 2.0889977e-03 1.7456096e-05 3.0363156e-04],[9.999375e-01 6.257263e-05],"[7.7222154e-07 6.2428426e-06 9.4125618e-04 2.4407715e-01 6.8371081e-01
 6.9483407e-02 1.7300317e-03 4.8677863e-05 1.7047098e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10540_face0.jpg,White,White,Male,30-39,"[9.9998999e-01 4.8036966e-08 1.0882508e-06 3.5427252e-08 9.6091739e-08
 2.8537389e-08 8.6936689e-06]",[9.9997813e-01 1.8892561e-05 1.3522830e-06 1.6311415e-06],[9.9999756e-01 2.4015055e-06],"[4.2505346e-07 1.6955068e-05 1.2994820e-03 4.8121735e-01 5.0489807e-01
 1.2487371e-02 7.9747559e-05 5.8247372e-07 3.0492821e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10543_face0.jpg,White,White,Male,30-39,"[9.6095127e-01 1.6934118e-04 8.6880010e-03 1.4294662e-05 4.2987267e-05
 7.6240416e-05 3.0057883e-02]",[9.9548179e-01 3.2132610e-03 5.2688661e-04 7.7812903e-04],[9.9999857e-01 1.3844221e-06],"[2.5548816e-06 1.8470409e-06 1.6881767e-04 4.3413039e-02 5.3599870e-01
 4.0386465e-01 1.6062468e-02 4.8236802e-04 5.6205599e-06]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10577_face0.jpg,Middle Eastern,Black,Male,30-39,"[0.10547009 0.07468391 0.24811766 0.00513113 0.00715427 0.02655135
 0.5328916 ]",[0.24689908 0.56336737 0.1214805  0.06825306],[9.9999982e-01 1.7306907e-07],"[3.0833306e-07 3.1683824e-06 3.0169546e-04 2.5426638e-01 6.5169507e-01
 9.1560706e-02 2.1317680e-03 4.0479561e-05 5.5443462e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10589_face0.jpg,Black,Black,Male,20-29,"[2.3126246e-05 9.7976702e-01 1.6091567e-03 2.2039771e-06 2.3646682e-04
 1.8316308e-02 4.5686254e-05]",[5.5943688e-06 9.9512810e-01 5.6242425e-05 4.8100185e-03],[9.999401e-01 5.993492e-05],"[2.47272368e-07 1.70666335e-05 1.64003689e-02 4.73727435e-01
 3.69516760e-01 1.21463396e-01 1.78122874e-02 1.02263386e-03
 3.97691256e-05]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\10597_face0.jpg,Black,Black,Male,20-29,"[1.6023250e-03 8.7427455e-01 7.6581791e-02 1.6095197e-04 5.7819532e-03
 1.8750738e-02 2.2847595e-02]",[0.00117371 0.9534988  0.01872265 0.02660486],[9.9999613e-01 3.8715725e-06],"[1.9270494e-06 8.2768376e-05 7.4130576e-03 5.3341091e-01 4.3415713e-01
 2.4687832e-02 2.4291195e-04 3.4040097e-06 1.2520616e-07]"
