face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1142825_face0.jpg,White,White,Male,20-29,"[9.2317337e-01 3.4034153e-04 2.4396095e-02 1.1564347e-02 6.2545636e-03
 2.7708067e-03 3.1500459e-02]",[9.6212482e-01 8.4278232e-04 3.4032870e-02 2.9995518e-03],[9.999999e-01 6.982644e-08],"[3.36913324e-08 1.31765455e-05 4.07834500e-02 9.25035298e-01
 3.40333655e-02 1.34314483e-04 3.16707457e-07 1.15760415e-08
 1.43919238e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143271_face0.jpg,Middle Eastern,White,Male,10-19,"[4.6501644e-02 7.3622499e-07 2.3284080e-03 3.2541843e-06 6.9705943e-06
 1.0362437e-04 9.5105535e-01]",[9.9824744e-01 4.5638797e-05 6.1275416e-05 1.6456817e-03],[9.9999654e-01 3.4825398e-06],"[1.7289993e-06 3.5705324e-02 9.5537174e-01 8.4659066e-03 4.1292617e-04
 4.2032352e-05 3.7315468e-07 1.1063569e-08 2.2455951e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143340_face0.jpg,White,White,Male,20-29,"[9.9679846e-01 5.6821233e-07 1.0912785e-04 7.8608491e-07 7.4552116e-07
 1.7253377e-06 3.0886631e-03]",[9.9999714e-01 6.3225394e-07 4.7748171e-07 1.7600901e-06],[9.9999708e-01 2.9426137e-06],"[5.4215197e-06 3.5358861e-03 4.1182092e-01 5.7229036e-01 1.1983899e-02
 3.6001904e-04 3.3247672e-06 1.1007418e-07 3.2334921e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143364_face0.jpg,White,White,Male,20-29,"[9.8786038e-01 8.4745152e-05 6.9647087e-03 1.5971875e-06 6.9727653e-06
 8.0173551e-05 5.0014951e-03]",[9.9577093e-01 2.3348329e-03 3.3286843e-04 1.5614453e-03],[9.999994e-01 5.659986e-07],"[7.5424884e-09 1.0491315e-05 6.6350862e-02 9.1742951e-01 1.6143251e-02
 6.5735803e-05 1.1761038e-07 2.3789166e-09 3.4179482e-11]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143429_face0.jpg,Latino_Hispanic,Black,Male,20-29,"[0.00704807 0.42532343 0.47498402 0.00244057 0.0437886  0.0105419
 0.03587342]",[7.9629588e-04 9.7945988e-01 1.6766122e-02 2.9777084e-03],[9.999900e-01 9.989703e-06],"[1.4040643e-08 4.8285588e-06 3.0453837e-02 8.9533532e-01 7.3606826e-02
 5.9685932e-04 2.2868689e-06 9.3557567e-08 1.6228381e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143547_face0.jpg,Black,Black,Male,30-39,"[5.0268483e-07 9.9997246e-01 2.0851607e-05 5.7876020e-09 1.8266067e-07
 4.0536606e-06 2.0278528e-06]",[4.0975010e-06 9.9998862e-01 2.7870867e-06 4.5441325e-06],[9.9999994e-01 4.4176073e-08],"[8.2338012e-08 1.2367822e-06 3.4326868e-04 2.9743880e-01 6.4638215e-01
 5.5511136e-02 3.2134619e-04 1.8359204e-06 6.2314733e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143553_face0.jpg,White,White,Male,10-19,"[8.9791268e-01 1.0432123e-03 8.1239522e-02 1.9049288e-05 1.2521977e-04
 1.5848652e-04 1.9501893e-02]",[0.99299604 0.00217308 0.00116907 0.00366178],[9.9998605e-01 1.3939841e-05],"[1.3463720e-07 2.8322160e-04 6.8745935e-01 2.9677719e-01 1.3759624e-02
 1.6731023e-03 4.5944333e-05 1.3636601e-06 2.0540796e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143584_face0.jpg,Black,Black,Male,30-39,"[1.4742457e-07 9.9982291e-01 7.4016834e-06 1.1532531e-07 2.4790393e-06
 1.6586405e-04 1.0769785e-06]",[8.0751870e-06 9.9964225e-01 5.2796327e-06 3.4439360e-04],[0.9309327 0.0690673],"[6.00049930e-08 2.28990211e-05 1.19109089e-02 3.96554947e-01
 5.49109697e-01 4.19051647e-02 4.93272441e-04 2.99949556e-06
 1.06170916e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143585_face0.jpg,White,White,Male,10-19,"[9.99846697e-01 1.07824434e-07 2.32168495e-05 4.66980453e-07
 1.16243336e-06 2.29973011e-07 1.28232074e-04]",[9.9996513e-01 1.7224590e-06 3.0192759e-05 2.9889684e-06],[9.9999851e-01 1.5143024e-06],"[8.1883348e-07 1.3301255e-03 6.2674886e-01 3.4355891e-01 2.5119090e-02
 3.2106631e-03 3.1147352e-05 4.1177776e-07 6.3536372e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\1143588_face0.jpg,Latino_Hispanic,Indian,Male,20-29,"[2.4107638e-01 5.4293256e-03 4.2945555e-01 2.1348018e-05 2.7524860e-04
 1.5518846e-02 3.0822328e-01]",[0.22057001 0.06257664 0.00123258 0.71562076],[9.9999994e-01 5.7426625e-08],"[1.5349242e-08 8.7257184e-05 2.5757304e-01 7.2891706e-01 1.3291308e-02
 1.3077047e-04 4.8300382e-07 9.7013757e-09 8.0115338e-11]"
