face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\850823_face0.jpg,Latino_Hispanic,Black,Male,30-39,"[3.9894155e-01 3.2180000e-02 4.7517106e-01 4.6482275e-04 1.8997599e-03
 8.4909331e-03 8.2851738e-02]",[0.16399384 0.6378098  0.00871997 0.18947634],[9.999997e-01 2.830496e-07],"[1.4034593e-07 6.9576026e-07 5.5142335e-04 3.4622154e-01 5.9875280e-01
 5.3126488e-02 1.3307815e-03 1.5911402e-05 1.6949029e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\850891_face0.jpg,White,White,Male,20-29,"[9.8449194e-01 1.3881746e-05 1.3088869e-02 3.7693906e-05 1.2938560e-04
 7.3564413e-05 2.1646058e-03]",[9.9905175e-01 8.1061247e-05 5.1376823e-04 3.5340915e-04],[1.0000000e+00 7.9336475e-09],"[1.17583845e-07 1.49639927e-05 3.09075452e-02 7.15636671e-01
 2.35260203e-01 1.77973658e-02 3.78534431e-04 4.67706604e-06
 4.02911731e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\850952_face0.jpg,Middle Eastern,Indian,Male,20-29,"[6.2907979e-02 1.9707554e-03 6.2621608e-02 5.9690367e-04 1.9242903e-03
 3.9573996e-03 8.6602104e-01]",[0.3716554  0.06308461 0.04201019 0.5232498 ],[9.9999529e-01 4.7195763e-06],"[4.4392445e-06 2.7678639e-04 7.3093115e-03 5.5088669e-01 4.2387021e-01
 1.7477272e-02 1.7014395e-04 5.0603617e-06 9.6049476e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\850971_face0.jpg,Middle Eastern,White,Male,20-29,"[1.7692739e-01 3.9035922e-03 1.5608701e-01 9.6793789e-05 3.7228368e-04
 1.2666465e-03 6.6134632e-01]",[0.46233666 0.44094944 0.01690995 0.0798039 ],[9.9995995e-01 4.0010007e-05],"[3.1275403e-07 3.2464054e-06 7.8529567e-03 5.7547599e-01 3.7564942e-01
 3.9696034e-02 1.2941682e-03 2.7478320e-05 3.7427648e-07]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\851070_face0.jpg,White,White,Male,20-29,"[5.1826495e-01 4.0044365e-04 1.6924550e-01 1.8331954e-03 1.5272793e-03
 2.3513504e-03 3.0637720e-01]",[9.8897254e-01 3.2697053e-04 1.6421530e-03 9.0583386e-03],[9.9999875e-01 1.2529791e-06],"[1.2914628e-06 1.1419684e-04 4.1508287e-02 8.5399258e-01 1.0344889e-01
 9.3022664e-04 4.4909698e-06 8.9638540e-08 1.0467250e-09]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\851088_face0.jpg,White,White,Male,20-29,"[9.7627413e-01 1.0233165e-04 1.6127737e-02 2.9455608e-05 7.3876115e-05
 2.6435138e-05 7.3659895e-03]",[0.9260371  0.06841359 0.00420602 0.00134327],[9.9995762e-01 4.2411342e-05],"[1.36086875e-08 3.28003171e-06 3.69506404e-02 8.20280612e-01
 1.34419799e-01 8.22302047e-03 1.20883975e-04 1.75072284e-06
 2.20009913e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\851095_face0.jpg,Black,Black,Male,20-29,"[6.1085025e-06 9.9857193e-01 4.9016578e-04 1.8185576e-06 1.5644262e-04
 7.4885844e-04 2.4660683e-05]",[8.4570538e-06 9.9964100e-01 2.4851382e-04 1.0196576e-04],[9.9999958e-01 3.6597143e-07],"[1.1096036e-09 4.8951023e-07 1.0034064e-02 9.2266673e-01 6.6811912e-02
 4.8548277e-04 1.2532323e-06 1.3632557e-08 3.8845246e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\851096_face0.jpg,White,White,Male,20-29,"[9.2754966e-01 5.4609968e-04 4.1633479e-02 1.8523455e-06 7.7430368e-06
 1.2381080e-03 2.9023072e-02]",[9.8546267e-01 1.0019740e-02 8.8431800e-05 4.4291364e-03],[9.9999487e-01 5.1305738e-06],"[1.0695705e-08 5.6880515e-07 1.0367878e-03 7.2865391e-01 2.6548013e-01
 4.8013167e-03 2.6592441e-05 6.9538038e-07 1.2956635e-08]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\851098_face0.jpg,White,White,Male,20-29,"[9.9483734e-01 1.7650054e-06 1.0372609e-03 5.7391449e-06 1.4975337e-05
 4.7351959e-06 4.0981486e-03]",[9.9924356e-01 4.7325066e-05 5.6554121e-04 1.4361994e-04],[9.9999982e-01 2.3034531e-07],"[1.3024113e-09 2.1971896e-07 9.6488604e-04 8.3838946e-01 1.5982102e-01
 8.2339899e-04 1.1071062e-06 8.2343972e-09 1.3935884e-10]"
D:\Uni\Ulm\Master\Hiwi-Forschung-und-Lehre\FairFace\detected_faces\851099_face0.jpg,Middle Eastern,White,Male,30-39,"[0.06047547 0.01058799 0.28803825 0.00510133 0.00645316 0.03507603
 0.5942678 ]",[0.63579935 0.10045554 0.04755338 0.21619172],[9.9995565e-01 4.4300177e-05],"[2.5858288e-04 3.1893647e-03 5.7853940e-03 3.0730671e-01 5.9029830e-01
 9.1153294e-02 1.9271582e-03 7.9518744e-05 1.7112820e-06]"
